Food,Grams,Serving,Calories,Protein,Fiber,Sugar,Sodium,Sat.Fat, Price 
Cherry pie,125.0,1 piece (1/8 of 9 in. diameter),325.0,2.5,1.0,17.9,307.5,3.2, $0.86 
"Cherry pie, fried",128.0,1 pie (5 in. x 3-3/4 in.),404.5,3.8,3.3,19.2,478.7,3.1, $1.01 
"Chestnuts, european, roasted",28.4,1 oz,69.5,0.9,1.4,3.0,0.6,0.1, $0.35 
Chewing gum,16.0,10 Chiclets,57.6,0.0,0.4,10.6,0.2,0.0, $0.39 
"Chicken breast, deli, rotisserie seasoned, sliced, preparedackaged",12.0,1 slice,11.8,2.1,0.0,0.1,123.8,0.1, $0.12 
"Chicken patty, frozen, uncooked",60.0,1 patty,175.2,8.6,0.7,0.0,310.8,2.4, $0.38 
"Chicken pot pie, frozen entree, prepared",302.0,1 pie,616.1,15.4,3.3,6.8,1186.9,13.2, $1.73 
Chicken quesadilla,180.0,"1 each, quesadilla",529.2,27.1,3.1,3.4,1341.0,11.1, $1.11 
"Chicken tenders, breaded, frozen",21.0,1 piece,50.4,3.1,0.4,0.1,110.7,0.5, $0.10 
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",272.0,1 piece,326.4,61.2,0.0,0.0,122.4,1.5, $3.98 
"Chicken, broilers or fryers, breast, meat & skin, cooked, roasted",58.0,1 unit (yield from 1 lb ready-to-cook chicken),114.3,17.3,0.0,0.0,41.2,1.3, $0.57 
"Chicken, broilers or fryers, breast, meat & skin, cooked, stewed",66.0,1 unit (yield from 1 lb ready-to-cook chicken),121.4,18.1,0.0,0.0,40.9,1.4, $0.57 
"Chicken, broilers or fryers, breast, meat only, cooked, fried",86.0,".5 breast, bone and skin removed",160.8,28.8,0.0,0.0,67.9,1.1, $1.26 
"Chicken, broilers or fryers, breast, meat only, cooked, roasted",52.0,1 unit (yield from 1 lb ready-to-cook chicken),85.8,16.1,0.0,0.0,38.5,0.5, $0.39 
"Chicken, broilers or fryers, drumstick, meat & skin, cooked, fried, battered",72.0,"1 drumstick, bone removed",193.0,15.8,0.2,0.0,193.7,3.0, $0.46 
"Chicken, broilers or fryers, drumstick, meat & skin, cooked, roasted",96.0,"1 drumstick, without skin",183.4,22.4,0.0,0.0,118.1,2.6, $0.58 
"Chicken, broilers or fryers, drumstick, meat & skin, cooked, stewed",34.0,1 unit (yield from 1 lb ready-to-cook chicken),69.4,8.6,0.0,0.0,25.8,1.0, $0.19 
"Chicken, broilers or fryers, drumstick, meat only, cooked, fried",42.0,"1 drumstick, bone and skin removed",81.9,12.0,0.0,0.0,40.3,0.9, $0.31 
"Chicken, broilers or fryers, drumstick, meat only, cooked, stewed",46.0,"1 drumstick, bone and skin removed",77.7,12.7,0.0,0.0,36.8,0.7, $0.35 
"Chicken, broilers or fryers, leg, meat & skin, cooked, fried, battered",158.0,"1 leg, bone removed",431.3,34.4,0.5,0.0,440.8,6.8, $0.92 
"Chicken, broilers or fryers, leg, meat & skin, cooked, roasted",258.0,"1 leg, with skin (Sum of drumstick+thigh+back)",474.7,62.0,0.0,0.0,252.8,6.3, $1.07 
"Chicken, broilers or fryers, leg, meat & skin, cooked, stewed",75.0,1 unit (yield from 1 lb ready-to-cook chicken),165.0,18.1,0.0,0.0,54.8,2.7, $0.29 
"Chicken, broilers or fryers, leg, meat only, cooked, fried",94.0,"1 leg, bone and skin removed",195.5,26.7,0.0,0.0,90.2,2.3, $0.42 
"Chicken, broilers or fryers, leg, meat only, cooked, roasted",199.0,"1 leg, bone and skin r (Sum of drumstick+thigh+back meat only)",346.3,48.2,0.0,0.0,197.0,4.2, $1.13 
"Chicken, broilers or fryers, leg, meat only, cooked, stewed",160.0,"1 cup, chopped or diced",296.0,42.0,0.0,0.0,124.8,3.5, $0.90 
"Chicken, broilers or fryers, thigh, meat & skin, cooked, fried, batter",86.0,"1 thigh, bone removed",238.2,18.6,0.3,0.0,247.7,3.8, $0.43 
"Chicken, broilers or fryers, thigh, meat & skin, cooked, roasted",116.0,"1 thigh, without skin",269.1,27.0,0.0,0.0,118.3,4.8, $0.62 
"Chicken, broilers or fryers, thigh, meat & skin, cooked, stewed",68.0,"1 thigh, bone removed",157.8,15.8,0.0,0.0,48.3,2.8, $0.33 
"Chicken, broilers or fryers, thigh, meat only, cooked, fried",52.0,"1 thigh, bone and skin removed",113.4,14.7,0.0,0.0,49.4,1.4, $0.32 
"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",137.0,"1 thigh, with skin",245.2,33.9,0.0,0.0,145.2,3.2, $1.06 
"Chicken, broilers or fryers, thigh, meat only, cooked, stewed",33.0,1 unit (yield from 1 lb ready-to-cook chicken),64.4,8.3,0.0,0.0,24.8,0.9, $0.25 
"Chicken, broilers or fryers, wing, meat & skin, cooked, fried, batter",49.0,"1 wing, bone removed",158.8,9.7,0.1,0.0,156.8,2.9, $0.38 
"Chicken, broilers or fryers, wing, meat & skin, cooked, roasted",85.0,1 piece,215.9,20.2,0.0,0.0,83.3,4.2, $0.87 
"Chicken, broilers or fryers, wing, meat & skin, cooked, stewed",24.0,1 unit (yield from 1 lb ready-to-cook chicken),59.8,5.5,0.0,0.0,16.1,1.1, $0.21 
"Chicken, cornish game hens, meat & skin, cooked, roasted",129.0,.5 bird,334.1,28.7,0.0,0.0,82.6,6.5, $1.27 
"Chicken, cornish game hens, meat only, cooked, roasted",110.0,.5 bird,147.4,25.6,0.0,0.0,69.3,1.1, $1.13 
"Chicken, gizzard, cooked, simmered",145.0,"1 cup, chopped or dice",223.3,44.1,0.0,0.0,81.2,1.0, $1.04 
"Chicken, ground, raw",112.0,"4 oz, crumbled",160.2,19.5,0.0,0.0,67.2,2.6, $0.78 
"Chicken, ground, raw",112.0,"4 oz, crumbled",160.0,19.5,0.0,0.0,67.0,2.6, $0.78 
"Chicken, liver, all classes, cooked, pan-fried",28.4,1 oz,48.8,7.3,0.0,0.0,26.1,0.6, $0.13 
"Chicken, meatless, breaded, fried",168.0,"1 cup, pieces",393.1,35.8,7.2,0.0,672.0,1.9, $2.34 
"Chicken, neck, meat only",20.0,"1 neck, bone and skin removed",30.8,3.5,0.0,0.0,16.2,0.5, $0.11 
"Chicken, nuggets, dk & white meat, precooked, frozen",18.0,1 piece,46.8,2.2,0.2,0.1,100.8,0.6, $0.09 
"Chickpeas (garbanzo beans), cooked, boiled",164.0,1 cup,269.0,14.5,12.5,7.9,11.5,0.4, $0.17 
"Chili con carne w/ beans, canned entree",242.0,1 cup,258.9,14.0,8.0,4.5,1086.6,3.0, $0.92 
"Chili, no beans, canned entree",240.0,1 cup,283.2,18.1,1.2,2.6,986.4,5.4, $1.02 
"Chinese fried rice, w/o meat",137.0,1 cup,238.4,5.5,1.5,0.8,530.2,0.7, $0.33 
Chocolate creme pie,28.4,1 oz,100.1,1.2,0.2,7.8,75.4,3.5, $0.08 
"Chocolate milk, reduced fat",248.0,1 cup (8 fl oz),189.7,7.5,1.7,23.8,164.7,2.9, $0.48 
Chocolate mousse,202.0,.5 cup,454.5,8.4,1.2,29.9,76.8,18.5, $2.12 
Chocolate pudding,25.0,"1 portion, amount to make 1/2 cup",90.5,0.7,1.1,10.7,119.8,0.3, $0.11 
Chocolate soymilk,243.0,1 cup,140.9,5.0,1.9,19.0,99.6,0.5, $0.57 
Chocolate syrup,300.0,1 cup,837.0,6.3,7.8,149.0,216.0,1.6, $0.69 
"Chocolate syrup, prepared w/ whole milk",282.0,1 cup (8 fl oz),253.8,8.7,0.8,31.9,132.5,4.7, $0.55 
Chocolate-flavored hazelnut spread,37.0,"1 serving, 2 TBSP",200.2,2.0,2.0,20.0,15.2,10.5, $0.27 
"Chorizo, pork and beef",60.0,1 link (4 in. long),273.0,14.5,0.0,0.0,741.0,8.6, $0.36 
Cinnamon rolls w/ icing,44.0,"1 serving, 1 roll with icing",145.2,1.9,0.6,9.4,343.2,1.4, $0.29 
"Citrus fruit juice drink, frozen concentrate",423.0,1 can (12 fl oz),685.3,5.1,0.8,121.1,12.7,0.0, $0.39 
"Clam, cooked, breaded & fried",188.0,20 small ,379.8,26.8,0.0,0.0,684.3,5.0, $4.77 
"Clam, cooked, moist heat",190.0,20 small ,281.2,48.5,0.0,0.0,2283.8,0.4, $5.91 
"Cocoa mix, powder",28.0,1 serving (3 heaping tsp or 1 envelope),111.4,1.9,1.0,18.4,141.1,0.7, $0.32 
Coconut creme pie,64.0,1 piece (1/6 of 7 in. pie),190.7,1.3,0.8,11.9,130.6,4.5, $0.46 
"Coconut meat, dried (desiccated), sweetened, shredded",199.0,1 package (7 oz),997.0,5.7,9.0,85.9,521.4,62.6, $1.39 
"Coconut meat, raw",80.0,"1 cup, shredded",283.2,2.7,7.2,5.0,16.0,23.8, $1.08 
"Coconut milk, canned (liquid from grated meat & water)",15.0,1 tbsp,29.6,0.3,0.0,0.5,2.0,2.8, $0.07 
Coconut water (liquid from coconuts),240.0,1 cup (8 fl oz),47.1,1.8,2.7,6.5,260.4,0.4, $0.55 
"Cod, atlantic, cooked, dry heat",180.0,1 fillet,189.0,41.1,0.0,0.0,140.4,0.3, $2.47 
"Coffee, brewed from grounds, prepared w/ tap water",178.0,6 fl oz,1.8,0.2,0.0,0.0,3.6,0.0, $0.04 
"Coffee, brewed, espresso, rest-prep",30.0,1 fluid ounce,2.7,0.0,0.0,0.0,4.2,0.0, $0.09 
"Coffee, brewed, espresso, rest-prep, decaffeinated",30.0,1 fluid ounce,2.7,0.0,0.0,0.0,4.2,0.0, $0.09 
"Coffee, instant, decaffeinated, powder",1.8,"1 tsp, rounded",3.5,0.1,0.0,0.0,0.2,0.0, $0.05 
"Coffee, instant, reg, powder",2.0,1 packet,7.1,0.2,0.0,0.0,0.7,0.0, $0.05 
"Coffeecake, cinnamon w/ crumb topping, dry mix",74.5,1/4 package,324.8,3.6,1.3,31.7,444.0,2.2, $0.42 
"Collards, cooked",190.0,"1 cup, chopped",62.7,5.1,7.6,0.8,28.5,0.1, $1.54 
"Collards, frozen, chopped, cooked",170.0,"1 cup, chopped",61.2,5.0,4.8,1.0,85.0,0.1, $1.02 
"Collards, raw",36.0,"1 cup, chopped",11.5,1.1,1.4,0.2,6.1,0.0, $0.35 
"Cookie, butter or sugar, w/ chocolate icing or filling",31.0,3 cookies,155.9,1.3,0.6,10.5,107.9,4.6, $0.22 
"Cookies, animal crackers",57.0,1 box,254.2,3.9,0.6,13.3,232.0,2.0, $0.27 
"Cookies, butter",5.0,1 cookie,23.4,0.3,0.0,1.0,14.1,0.6, $0.03 
"Cookies, chocolate chip, dry mix",124.0,1/4 package,616.3,5.7,0.0,56.0,359.6,10.3, $0.54 
"Cookies, chocolate chip, lower fat",28.4,1 oz,127.9,1.7,0.9,9.3,118.5,1.7, $0.24 
"Cookies, chocolate chip, prepared from recipe, made w/ butter",16.0,"1 cookie, medium (2-1/4 in. diameter)",78.1,0.9,0.5,5.5,54.6,2.3, $0.06 
"Cookies, chocolate sandwich, w/ creme filling, reg",28.4,1 oz,131.5,1.5,0.8,11.5,110.0,1.6, $0.16 
"Cookies, chocolate sandwich, w/ creme filling, reg, chocolate-coated",17.0,1 cookie,81.8,0.6,0.9,8.4,55.4,1.3, $0.10 
"Cookies, chocolate sandwich, w/ ex creme filling",13.0,1 cookie,64.6,0.6,0.4,6.0,45.6,0.7, $0.08 
"Cookies, chocolate wafers",112.0,"1 cup, crumbs",485.0,7.4,3.8,41.9,649.6,4.7, $1.99 
"Cookies, coconut macaroon",36.0,"2 cookies, 1 serving",165.6,1.1,1.8,16.3,86.8,7.2, $0.02 
"Cookies, fig bars",43.0,1 Figaroo (2 square halves),149.6,1.6,2.0,19.9,150.5,0.5, $0.23 
"Cookies, gingersnaps",7.0,1 cookie,29.1,0.4,0.2,1.4,35.1,0.2, $0.04 
"Cookies, ladyfingers",13.0,1 anisette sponge (4 in. x 1-1/8 in. x 7/8 in.),47.2,1.4,0.1,6.1,19.1,0.4, $0.20 
"Cookies, marshmallow, chocolate-coated (including marshmallow pies)",28.0,1 Fudge Marshmallow,117.9,1.1,0.6,12.5,52.6,1.3, $0.17 
"Cookies, oatmeal",25.0,"1 cookie, big (3-1/2 in. - 4 in. diameter) (include Archway brand, Grandma brand)",112.5,1.6,0.7,6.2,95.8,1.1, $0.07 
"Cookies, oatmeal sandwich, w/ creme filling",38.0,"1 cookie, 1 serving",151.2,1.0,1.0,11.9,168.7,2.0, $0.13 
"Cookies, peanut butter",31.0,1 cookie,146.6,2.8,0.7,8.9,143.5,2.1, $0.12 
"Cookies, raisin",15.0,1 cookie,60.2,0.6,0.2,7.1,62.7,0.5, $0.11 
"Cookies, vanilla sandwich w/ creme filling",15.0,"1 cookie, oval (3-1/8 in. x 1-1/4 in. x 3/8 in.)",72.5,0.7,0.2,5.9,52.4,0.4, $0.07 
"Cookies, vanilla wafers, lower fat",80.0,"1 cup, crumbs",352.8,4.0,1.5,30.0,310.4,3.1, $0.96 
"Corn grits, instant, plain",219.0,1 cup,162.1,3.5,2.4,0.2,497.1,0.2, $0.13 
Corn tamale,166.0,1 piece,308.8,5.8,5.3,12.3,459.8,4.4, $0.66 
"Corn, sweet, white, canned, cream style, reg pack",482.0,1 can (303 x 406),356.7,8.4,5.8,10.7,1258.0,0.3, $0.95 
"Corn, sweet, white, cooked",103.0,"1 ear, medium (6-3/4 in. to 7-1/2 in. long)",99.9,3.4,2.8,8.0,3.1,0.2, $1.04 
"Corn, sweet, white, frozen, krnls cut off cob",284.0,1 package (10 oz) yields,227.2,7.8,6.8,8.9,14.2,0.2, $2.80 
"Corn, sweet, yellow, canned, cream style, reg pack",482.0,1 can (303 x 406),347.0,8.4,5.8,15.6,1258.0,0.3, $0.77 
"Corn, sweet, yellow, frozen, krnls cut off cob, unprepared",284.0,1 package,249.9,8.6,6.0,7.1,8.5,0.3, $0.83 
"Corn, sweet, yellow, frozen, krnls on cob, cooked",63.0,"1 ear, yields",59.2,2.0,1.8,2.3,2.5,0.1, $0.62 
"Corn, sweet, yellow, raw",143.0,"1 ear, large (7-3/4 in. to 9 in. long) yields",123.0,4.7,2.9,9.0,21.5,0.5, $1.15 
Corndog,175.0,1 sandwich,460.3,16.8,1.4,0.0,973.0,5.2, $0.67 
Cornstarch,128.0,1 cup,487.7,0.3,1.2,0.0,11.5,0.0, $0.43 
"Couscous, cooked",528.0,"1 cup, dry, yields",591.4,20.0,7.4,0.5,26.4,0.2, $0.85 
"Cowpeas (blackeyes), cooked",165.0,1 cup,160.1,5.2,8.3,5.3,6.6,0.2, $0.35 
Crab cake,60.0,1 cake,159.6,11.3,0.2,0.0,491.4,2.2, $1.70 
"Crackers, cheese, reduced fat",30.0,1 serving,125.4,3.0,1.0,0.0,350.1,1.0, $0.25 
"Crackers, cheese, regular",62.0,"1 cup, bite size",303.2,6.8,1.4,2.8,603.3,3.3, $0.48 
"Crackers, cheese, sandwich-type w/ cheese filling",6.5,1 sandwich,31.9,0.6,0.1,0.8,57.1,0.3, $0.05 
"Crackers, cheese, sandwich-type w/ peanut butter filling",83.0,"1 cup, crushed",411.7,10.3,2.8,5.8,688.1,3.7, $0.52 
"Crackers, matzo, plain",28.0,1 matzo,110.6,2.8,0.8,0.1,0.0,0.1, $0.15 
"Crackers, saltines (includes oyster, soda, soup)",14.2,.5 oz,59.4,1.3,0.4,0.2,133.6,0.2, $0.07 
"Crackers, saltines, fat-free, low-sodium",30.0,6 saltines,117.9,3.2,0.8,0.1,254.7,0.1, $0.52 
"Crackers, saltines, low salt (includes oyster, soda, soup)",45.0,"1 cup, oyster crackers",189.5,4.3,1.3,1.0,89.1,0.9, $0.23 
"Crackers, saltines, whole wheat (includes multi-grain)",14.0,1 serving,55.7,1.0,0.0,0.0,170.0,0.0, $0.15 
"Crackers, snack-type",16.0,"5 crackers, regular size, round (1 serving)",81.6,1.1,0.4,1.3,116.2,0.9, $0.14 
"Crackers, standard snack-type, low salt",62.0,"1 cup, bite size",311.2,4.6,1.0,1.1,133.9,2.3, $0.55 
"Crackers, wheat, reduced fat",29.0,16 crackers,127.9,2.7,1.0,4.3,223.5,0.6, $0.26 
"Crackers, wheat, regular",14.5,"2 crackers, 1 serving",66.0,1.1,1.0,2.2,101.4,0.5, $0.06 
"Cranberries, raw",100.0,"1 cup, whole",46.0,0.4,4.6,4.0,2.0,0.0, $0.66 
"Cranberry-apple juice drink, bottled",245.0,1 cup (8 fl oz),154.4,0.0,0.0,35.5,4.9,0.0, $0.39 
"Cranberry-apple juice drink, low cal, w/ vitamin C",30.0,1 fl oz,5.7,0.0,0.0,1.4,1.5,0.0, $0.03 
"Crayfish, farmed, cooked, moist heat",85.0,3 oz,74.0,14.9,0.0,0.0,82.5,0.2, $2.46 
"Cream of mushroom soup, condensed",124.0,".5 cup, condensed",68.2,1.6,1.2,2.2,405.5,0.4, $0.14 
"Cream of mushroom soup, low sodium",298.0,"1 serving, 1 container",160.9,3.0,0.0,6.0,59.6,2.5, $0.24 
"Cream puff, eclair, custard or cream filled, iced",113.0,4 oz,377.4,5.0,1.0,24.9,299.5,8.0, $0.41 
"Cream substitute, flav, liquid",15.0,1 tbsp,37.7,0.1,0.2,5.0,10.1,0.4, $0.05 
"Cream substitute, flav, powder",12.0,4 tsp,57.8,0.1,0.1,7.0,14.8,2.3, $0.06 
"Cream substitute, liquid, light",242.0,1 cup,171.8,1.9,0.0,22.0,145.2,2.2, $0.79 
"Cream substitute, powder, light",3.0,1 packet,12.9,0.1,0.0,2.2,6.9,0.1, $0.02 
"Cream, fluid, half and half",15.0,1 tbsp,19.5,0.4,0.0,0.6,6.2,1.1, $0.04 
"Cream, fluid, heavy whipping",238.0,"1 cup, fluid (yields 2 cups whipped)",821.1,4.9,0.0,6.6,90.4,54.8, $2.96 
"Cream, fluid, light (coffee cream or table cream)",15.0,1 tbsp,29.3,0.4,0.0,0.5,6.0,1.8, $0.06 
"Cream, half & half, fat free",484.0,1 pint,285.6,12.6,0.0,24.2,484.0,4.1, $1.24 
"Creamy dressing, made w/ sour cream and/or buttermilk & oil, reduced calorie",30.6,2 tbsp,49.0,0.5,0.0,1.7,255.1,0.6, $0.16 
"Creamy dressing, mde w/ sour cream and/or buttermilk & oil, reduced calorie, fat free",33.0,2 tbsp,35.3,0.5,0.0,1.8,296.0,0.2, $0.18 
"Croaker, atlantic, cooked, breaded & fried",85.0,3 oz,187.9,15.5,0.3,0.0,295.8,3.0, $1.36 
"Croissants, cheese",42.0,"1 croissant, small ",173.9,3.9,1.1,4.8,151.6,4.5, $0.04 
"Croutons, plain",30.0,1 cup,122.1,3.6,1.5,0.0,209.4,0.5, $0.28 
"Crustaceans, shrimp, untreated, cooked",85.0,3 oz,84.2,20.4,0.0,0.0,94.4,0.0, $2.90 
"Cucumber, peeled, raw",119.0,"1 cup, sliced",14.3,0.7,0.8,1.6,2.4,0.0, $0.41 
"Dandelion greens, cooked",105.0,"1 cup, chopped",34.7,2.1,3.0,0.5,46.2,0.2, $0.31 
"Danish pastry, cheese",71.0,1 pastry,265.5,5.7,0.7,4.9,296.1,4.8, $0.59 
"Dates, medjool",24.0,"1 date, pitted",66.5,0.4,1.6,16.0,0.2,0.0, $0.23 
"Doughnuts, cake-type, chocolate, sugared or glazed",60.0,1 doughnut (3-3/4 in. diameter),250.2,2.7,1.3,19.2,129.0,3.1, $0.05 
"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",28.4,1 oz,123.0,1.5,0.5,5.1,135.2,3.1, $0.12 
"Doughnuts, yeast-leavened, w/ jelly filling",85.0,"1 doughnut, oval (3-1/2 in. x 2-1/2 in.)",289.0,5.0,0.8,17.9,386.8,4.1, $0.06 
Duck sauce,33.0,2 Tbsp,80.9,0.1,0.2,10.1,150.2,0.0, $0.09 
"Duck, breast, meat, boneless, cooked w/o skin",95.0,".5 breast, bone and skin removed",133.0,26.2,0.0,0.0,99.8,0.5, $0.76 
"Duck, domesticated, meat only, cooked, roasted",100.0,1 unit (yield from 1 lb ready-to-cook duck),201.0,23.5,0.0,0.0,65.0,4.0, $0.80 
Egg custard pie,105.0,1 piece (1/6 of 8 in. pie),220.5,5.8,1.7,12.2,288.8,2.5, $0.73 
"Egg rolls, chicken, refr, heated",28.4,1 oz,55.8,3.0,0.7,1.6,135.5,0.3, $0.32 
"Egg rolls, pork, refr, heated",28.4,1 oz,62.9,2.8,0.6,1.5,115.4,0.5, $0.32 
"Egg rolls, veg, frozen, prepared",28.4,1 oz,60.7,1.7,0.7,1.7,138.9,0.3, $0.32 
"Egg, white, raw, fresh",243.0,1 cup,126.4,26.5,0.0,1.7,403.4,0.0, $1.04 
"Egg, whole, cooked, fried",46.0,1 large,90.2,6.3,0.0,0.2,95.2,2.0, $0.15 
"Egg, whole, cooked, poached",50.0,1 large,71.5,6.3,0.0,0.2,148.5,1.6, $0.14 
"Egg, whole, raw, fresh",56.0,1 extra large,80.1,7.0,0.0,0.2,79.5,1.8, $0.16 
"Egg, yolk, raw, fresh",243.0,1 cup,782.5,38.5,0.0,1.4,116.6,23.2, $2.05 
Eggnog,31.8,1 fl oz,28.0,1.4,0.0,2.6,17.2,0.8, $0.07 
"Eggplant, cooked",99.0,1 cup (1 in. cubes),34.7,0.8,2.5,3.2,1.0,0.0, $0.51 
Energy drink,240.0,1 serving,110.4,0.6,0.0,29.0,64.8,0.0, $0.37 
"English muffin, plain",57.0,1 muffin,129.4,5.1,2.0,2.0,242.3,0.4, $0.26 
"English muffins, mixed-grain",66.0,1 muffin,155.1,6.0,1.8,0.5,196.7,0.2, $0.37 
"English muffins, raisin/cinnamon",57.0,1 muffin,136.8,4.5,1.5,8.4,170.4,0.3, $0.33 
"English muffins, wheat",57.0,1 muffin,127.1,5.0,2.6,0.9,201.2,0.2, $0.41 
"English muffins, whole-wheat",66.0,1 muffin,134.0,5.8,4.4,5.3,240.2,0.2, $0.48 
"Falafel, home-prepared",17.0,1 patty (approx 2-1/4 in. diameter),56.6,2.3,0.0,0.0,50.0,0.4, $0.06 
"Figs, raw",50.0,1 medium (2-1/4 in. diameter),37.0,0.4,1.5,8.1,0.5,0.0, $0.53 
"Fish fillet, battered or breaded & fried",91.0,1 fillet,211.1,13.3,0.5,0.0,484.1,2.6, $0.87 
Fish sauce,18.0,1 tbsp,6.3,0.9,0.0,0.7,1413.2,0.0, $0.07 
Fish sticks,28.0,1 stick,81.2,6.4,1.7,0.2,137.2,0.8, $0.31 
"Fish, tuna, light, canned in water, drained solid",85.0,3 oz,73.1,16.5,0.0,0.0,210.0,0.2, $0.49 
Flan,306.0,"1 cup, (1/5 recipe yield)",444.0,13.9,0.0,70.8,162.0,5.5, $0.50 
"Flatfish (flounder&sole sp), cooked, dry heat",85.0,3 oz,73.1,13.0,0.0,0.0,308.6,0.5, $1.54 
Frankfurter  beef& pork,45.0,1 frankfurter,137.3,5.2,0.0,0.0,368.6,4.8, $0.26 
"Frankfurter, meat and poultry, unheated",51.0,1 frankfurter,141.3,5.0,0.0,1.4,497.8,3.9, $0.30 
"Frankfurter, meatless",70.0,1 frankfurter,163.1,13.7,2.7,0.0,329.7,1.2, $0.74 
"Frankfurter, turkey",45.0,1 frankfurter,100.4,5.5,0.0,0.5,410.0,1.8, $0.26 
"French toast, frozen",59.0,1 piece,125.7,4.4,0.6,3.5,292.1,0.9, $0.16 
"Frostings, chocolate, creamy",41.0,"2 tbsp, creamy",162.8,0.5,0.4,23.7,75.0,2.3, $0.08 
"Frostings, vanilla, creamy",33.0,"2 tbsp, creamy",137.9,0.0,0.0,20.8,60.7,1.0, $0.06 
"Frozen yogurts, choc",174.0,1 cup,221.0,5.2,4.0,33.5,109.6,4.0, $0.35 
"Frozen yogurts, flavors other than choc",174.0,1 cup,221.0,5.2,0.0,34.7,109.6,4.0, $0.49 
"Fruit butters, apple",17.0,1 serving,29.4,0.1,0.3,6.0,2.6,0.0, $0.06 
"Fruit cocktail, canned, heavy syrup",214.0,1 cup,149.8,1.0,3.6,36.7,12.8,0.0, $0.54 
Fruit flavored drink,238.0,1 cup (8 fl oz),152.3,0.0,0.0,37.7,85.7,0.0, $0.20 
"Fruit leather, pieces",27.0,1 package,96.9,0.3,0.0,15.5,108.8,0.2, $1.00 
"Fruit punch drink, w/ added nutrition, canned",248.0,1 cup (8 fl oz),116.6,0.0,0.5,28.0,94.2,0.0, $0.20 
"Fruit salad, canned, light syrup",252.0,1 cup,146.2,0.9,2.5,37.3,15.1,0.0, $1.54 
"Fudge, chocolate",17.0,1 piece,69.9,0.4,0.3,12.4,7.7,1.1, $0.21 
"Fudge, chocolate w/ nuts",28.0,1 oz,129.1,1.2,0.7,17.7,10.9,1.8, $0.43 
"Fudge, peanut butter",16.0,1 piece,61.9,0.6,0.1,11.7,18.9,0.3, $0.25 
"Fudge, vanilla",28.0,1 oz,107.2,0.3,0.0,22.3,13.2,0.9, $0.44 
"Fudge, vanilla w/ nuts",28.0,1 oz,121.8,0.8,0.3,19.9,11.8,1.1, $0.44 
"Game meat, deer, cooked, roasted",85.0,3 oz,134.0,25.7,0.0,0.0,46.0,1.1, $1.09 
"Game meat, goat, cooked, roasted",340.0,"1 piece, cooked (yield from 1 lb raw meat, boneless)",486.2,92.1,0.0,0.0,292.4,3.2, $3.23 
"Game meat, rabbit, raw",453.6,1 lb,616.9,90.9,0.0,0.0,186.0,7.5, $5.94 
"Garlic bread, frozen",59.0,1 slice,206.5,4.9,1.5,2.2,321.0,3.1, $0.34 
"Garlic, raw",3.0,1 clove,4.5,0.2,0.1,0.0,0.5,0.0, $0.03 
"Gelatin dessert, dry mix",21.0,"1 portion, amount to make 1/2 cup",80.0,1.6,0.0,18.1,97.9,0.0, $0.02 
"Granola bar, w/ coconut, chocolate coated",28.0,1 oz,148.7,1.5,1.7,9.6,42.6,6.4, $0.32 
"Granola bars, soft, coated, milk chocolate coating, chocolate chip",28.0,1 bar (1 oz),130.5,1.6,1.0,11.0,56.0,4.0, $0.32 
"Grape juice drink, canned",250.0,1 cup (8 fl oz),142.5,0.0,0.3,35.3,22.5,0.0, $0.39 
"Grape juice, canned or bottled, unsweetened, w/ added vitamin c",248.0,1 cup (8 fl oz),151.7,0.9,0.5,35.9,12.6,0.1, $0.41 
"Grapefruit juice, pink, raw",196.0,"1 fruit, yields (.85 cups)",76.4,1.0,0.2,19.0,2.0,0.0, $0.32 
"Grapefruit juice, white, canned, unsweetened",247.0,1 cup (8 fl oz),93.9,1.3,0.2,21.9,2.5,0.0, $0.18 
"Grapefruit juice, white, frozen conc, unsweetened",247.0,1 cup (8 fl oz),101.4,1.4,0.2,23.8,2.5,0.0, $0.18 
"Grapefruit, raw, pink & red, florida",123.0,1/2 grapefruit (3-3/4 in. diameter),36.9,0.7,1.4,8.0,0.0,0.0, $0.46 
"Grapefruit, sections, canned, in light syrup",254.0,1 cup,152.4,1.4,1.0,38.2,5.1,0.0, $0.90 
"Grapes, red or green, raw",49.0,10 grapes,33.8,0.4,0.4,7.6,1.0,0.0, $0.20 
"Green peppers, sweet, cooked",11.6,"1 tablespoon, chopped",3.2,0.1,0.1,0.4,0.2,0.0, $0.06 
"Green peppers, sweet, raw",92.0,"1 cup, sliced",18.4,0.8,1.6,2.2,2.8,0.1, $0.39 
"Ground turkey, raw",114.0,"1 patty, 4 oz",168.7,22.4,0.0,0.0,66.1,2.3, $0.72 
"Guanabana nectar, canned",251.0,1 cup,148.1,0.3,0.3,32.8,20.1,0.1, $0.41 
"Guavas, common, raw",55.0,"1 fruit, without refuse",37.4,1.4,3.0,4.9,1.1,0.1, $0.38 
"Haddock, cooked, dry heat",85.0,3 oz,76.5,17.0,0.0,0.0,221.9,0.1, $1.53 
Ham salad spread,28.4,1 oz,61.2,2.5,0.0,0.0,304.8,1.4, $0.29 
