food,foodGroup,pkgAmt,pricePerOz,calsPerOz,fatPerOz,totalCost,protPerOz,sodiumPerOz,fiberPerOz,sugarPerOz,calsPerServ,ozPerServ,fatPerServ,protPerServ,sodiumPerServ,fiberPerServ,sugarPerServ,costPerServ,grains,oilsFats,fruit,sugar,meatProtein,bev,vegs,dairy,serv,meatProtein2,grains2,sugar2,dairy2,fruit2,oilsFats2,vegs2,bev2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71
Key Food White Bread,Grains,20,0.08,70,1,$1.69,2,170,0,1,66,0.881849,0.82,1.91,170,0.6,1.08,0.07054792,0.881849,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hormel Pork Tenderloin - Extra Lean Teriyaki,Meat/Protein,18.4,0.49,32.5,1,$8.99,4.75,125,0,1,130,4,4,19,500,0,4,1.96,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borden American Cheese,Dairy,12,0.17,66.7,4,$1.99,5.3,453.3,0,1.3,50,0.75,3,4,340,0,1,0.1275,0,0,0,0,0,0,0,0.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naturipe Blueberries,Fruit,4.4,0.45,8.8,0.1,$2.00,0,0,0.5,1.5,70,5.11472,0,1,0,7,10,2.301624,0,0,5.11472,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantaloupe,Fruit,20,0.15,10,0,$2.99/each,0,4,0,2,10,1,0,0,4,0,2,0.15,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coca-Cola,Beverage,144,0.04,11.7,0,$5.99,0,3.75,0,3.25,140,12,0,0,45,0,39,0.48,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Skippy Peanut Butter - Reduced Fat Creamy,Meat/Protein,15,0.27,190,9.3,$3.99,5.4,147.3,2.6,3.9,190,1.29,12,7,190,2,5,0.3483,0,0,0,0,1.29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turkey Hill Vanilla Ice Cream,Dairy,48,0.06,58.3,2.9,$2.99,0.8,18.8,0,5,130,2.32808,7,2,50,0,12,0.1396848,0,0,0,0,0,0,0,2.32808,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dove Dark Chocolate - Roasted Almond,Sugar,3.5,0.76,137.7,9,$2.69,2.4,6,1.8,10.8,230,1.67,15,4,10,3,18,1.2692,0,0,0,1.67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Butter,Oils/Fats,16,0.19,204,23,$2.99,0.2,164,0,0,102,0.5,11.5,0.1,82,0,0,0.095,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oscar Mayer Classic Wieners,Meat/Protein,16,0.25,87.5,8.1,$3.99,3.125,225,0,0.6,140,1.6,13,5,360,0,1,0.4,0,0,0,0,1.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jeno's Pizza - Cheese,"Grain, Dairy",5,0.3,64.2,3,$1.49,2,145.7,0.3,0.7,450,7,21,14,1020,1.9,5.1,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hillshire Farm Ham - Honey Deli Selects Ultra Thin,Meat/Protein,9,0.39,35,0.8,$3.49,4.5,345,0,1,70,2,1.5,9,690,0,2,0.78,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hillshire Farm Honey Roasted Turkey Breast,Meat/Protein,9,0.39,30,0.25,$3.49,4,320,0,1.5,60,2,0.5,8,640,0,3,0.78,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Key Food Cream Cheese,Dairy,8,0.21,100,10,$1.69,2,105,0,2,100,1,10,2,105,0,2,0.21,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whole Grain Wheat Thins,Grains,10,0.43,132.2976319,4.252423882,$4.29,1.88996617,217.3461095,1.88996617,3.779932339,140,1.05822,4.5,2,230,2,4,0.4550346,1.05822,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vanilla Almond Special K Cereal,Grains,14,0.34,101,1.4,$4.69,1.8,147,2.8,8.3,190,1.7637,3.5,10,125,9,9,0.599658,1.7637,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dean's Dip Guacamole,Vegetables,12,0.23,90,9,$2.79,1,170,0,1,90,1,9,1,170,0,1,0.23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Entenmann's Soft'ees Donuts,Oils/Fats,20.5,0.15,121.4,7.1,$2.99,1.4,135.7,0.7,5,170,1.4,10,2,190,1,7,0.21,0,1.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
